IDX,Acct_Mgr_Quality,Acct_Team_Ability,Acct_Team_Breadth,Acct_Team_Contribution,Acct_Team_Engagement,Acct_Team_Info,Acct_Team_Leadership,Acct_Team_Plan,Acct_Team_Problem_Solver,Acct_Team_Sales_Support,Acct_Team_Satisfaction,Communications,Competitor_Comparison,Continue,Credit_Score,Ease,Joint_Service_Delivery,Loyalty,Mktg_Proj,Online_Tools/Applications_Satisfaction,Online_Tools_Colloboration,Online_Tools_Ease,Online_Tools_Effectiveness,Online_Tools_Help,Online_Tools_Sufficient,Online_Tools_Timeliness,Operation_Support_Quality,Partnership_Committed,Product_Quality,Profit,Relationship,Sales_Expectation,Sales_Training,Satisfaction,Service_Account_Team_Satisfaction,Service_Sales_Support,Service_Support,Solutions_Support,Support_Importance,Support_Mgr_Quality,Support_Quality,Svc_Proj,Team_Comparison,Value,Will_Recommend,Prediction
1,3,4,3.9590100967,4,4.1750958367,4,3.8284734955,4,4,4,4.4589345217,4,5,5,3,4,3.5780308797,1,4,4.2295109669,4.1610081947,4.5237450659,4.2511135567,3.9068674854,3.8128611583,3.9590100967,3.9590100967,5,5,4,5,3,4.3011799136,5,3,3.7689863465,3.6980850127,4,5,5,4,4,5,4,5,105.914146341
2,4,3.9654710527,3.8554253398,4,3.7382576307,3.99628824,4,3.7633003986,4.0227184976,3.9229691742,4,4,3,5,5,4,3.9598789388,1,4,4,4,4,3.9589213764,4,4,3.8554253398,3.8554253398,5,4,4,3,4,3.8605791181,4,4.0701955961,4.0567722176,4.024768688,4.0036367361,5,4,4,3.9457311563,3,4,5,101.342996845
3,3.8352908914,3.7564675392,3.6931668363,3.5749021035,3.3416048265,3.8010819346,3.6847474478,3.5485917447,3.783964528,3.6376728333,3.6789756553,3.7841247792,3.1619758717,4.2437070991,3,3.4937376476,3.6379147533,0,3.806405543,3.8388359619,3.7452032874,4.2126973717,3.887054895,3.6319182627,3.5540117365,3.6931668363,3.6931668363,4.0074361744,4.1690791474,3.7214535626,3.6189025926,3.6867254476,3.540922403,3.7996922311,3.7794117643,3.812204006,3.7204660422,3.7527790481,4.1366842675,3.9257553807,3.8690509569,3.7175598228,3.3823239578,3.5905867492,4.1700835261,111.729075
4,5,4.9986948658,4.2073772606,5,4.7322733131,4.9536641041,4.6462454665,4.8649591415,4.9957023303,4.8857050316,4.8701915736,5,4.2776421754,5,1,5,4.6333255911,1,5,4.9123973671,4.9059171766,4.8408081656,4.9898907719,4.5264392025,4.6859065288,4.2073772606,4.2073772606,5,5,5,5,4,4.8592991104,5,5,4.7493049607,4.6361165503,4.7251057635,5,5,5,4.7927340745,4.5450473885,5,5,113.202027972
5,3,3.4225425342,3.5833804338,3,3.4738328566,3.4831568836,4,3.2297856483,3.4878314763,3.3812242971,2,3,3,4,5,4,3.3640895901,1,3.6535364453,4,3,3,3.6573741732,4,3,3.5833804338,3.5833804338,3.9460034969,4,3,4,4,3.5731235059,4,3.535452947,3.4914678883,3.4543899729,3.4471475845,4,3,4,3,3,3,4,101.342996845
6,5,4.588649142,4.0004633366,5,3.6483236171,4.5320585837,5,4.2899679788,4.6176156914,4.4836092684,3,4,5,5,3,3,4.3820413989,1,5,4,4,5,3.8755323122,3,3,4.0004633366,4.0004633366,5,5,5,5,4,3.899209153,4,4.5359525775,4.5184904759,4.4738526151,4.4506245596,5,4,5,4.3353174007,5,4,5,112.276359223
7,3,3.7793951729,3.7152591298,4,3.4667864049,3.78168523,3.584407877,3.5054503676,3.8174943743,3.6716248204,4,4,3.7003064923,4,3,3,3.4939116326,1,3.9437641945,3.7227912107,3.6629543064,4.2713715387,3.7571122348,3.5935504382,3.4056954138,3.7152591298,3.7152591298,5,4,3,4,5,3.67615666,4,4,3.6913088566,3.6264250555,3.6478262915,5,4,4,3.9054311061,3.8562918176,4,4,114.923255814
8,4,4,4.0082140439,4.111696501,4,4,4,4,4,4,4,5,4.1112556642,5,1,5,3.9273719795,1,5,5,4,5,4.8976583885,4,4,4.0082140439,4.0082140439,5,5,5,5,4,4,5,4.1043943689,4.1237964304,3.9995486118,4.1176539324,5,4,5,4,4.1506324402,5,5,110.823339587
9,5,4,3.987280711,4,4.6334623768,4,4,4,4,4,4.7348706488,5,5,5,1,5,3.8483345708,1,4.4779275971,4,4,4,4.1909831965,4,4,3.987280711,3.987280711,5,4,4,5,5,4.6593736877,5,4.0266141797,3.9724809754,3.9165350959,3.963961662,5,5,4,5,4.5494792953,3,5,112.75263919
10,4.4989254019,4.3437963496,3.7651426524,4.1028917037,3.5413191283,4.2830529329,3.6921935481,4.0686589675,4.3607902185,4.2040902454,4,4,5,5,1,3.6651619123,3.8409587812,1,5,3,3,4,3.5606110023,3,3,3.7651426524,3.7651426524,5,4,4.0395297358,4,4.2603006943,4,5,4.0617635798,4.033498851,3.9552528426,3.9777531313,5,4.4404653029,4.1507668098,5,4.7033302385,3,5,112.75263919
11,4.0486448066,3.8840692275,3.8344968378,3.6822227546,3.3325030298,3.8650538134,3.5234581649,3.5444782573,3.9265526198,3.7605945203,3.9026894814,4,3,5,3,4,3.4945743048,1,4.2142857143,3.4820614479,3.4541288756,4.3203485553,3.4988109386,3.4880727765,3.2314481106,3.8344968378,3.8344968378,5,4,4,4,5,3.593102356,3,3.8435762496,3.7270023157,3.6746476567,3.6741026573,5,4.161568157,4,4.0110614005,4.3582398654,4,5,111.729075
12,4,3,3.4933781952,3.6237046615,4,4,3,3,4,4,4,4,3.379911863,4,2,3,3,1,3.7136671786,4,2,5,3.2599386118,4,3,3.4933781952,3.4933781952,4,4,4,3,3,4,4,4,3.6776434756,4,3,4,4,3,4,3.6805689715,3,4,112.75263919
13,4,4.1847998214,3.8983789462,4,3.6124643602,4.1616217401,4.0271819867,3.8915266983,4.1979692963,4.039367261,3,5,3,5,1,4,3.9224513252,1,3,4.1514733692,4.0977277526,4.6256803904,4.2109334206,3.9707360322,3.8200881865,3.8983789462,3.8983789462,4,5,5,5,5,3.8875161074,4,3,4.1296537111,4.0383876641,4.0832767235,5,4,4,4,3,4,5,113.202027972
14,5,4.2959284341,3.5640275621,5,3.3678291424,4.2465760992,4,4.0625091247,4.3015769262,4.1594866324,3,4,4,4,1,3,4.0106937824,1,3,4,4,4,3.6836820692,4,4,3.5640275621,3.5640275621,4,4,4,3,3,3.6039198623,4,5,4.1545733458,4.0650082978,4.08975214,4,5,4,4,5,3,4,113.202027972
15,3,3.4185180151,3.7296438761,3.2302096794,2.9861918725,4,3.4710927334,3.1602413058,3.4595349539,3.2899990321,3.4491263005,4,4,4,4,4,3.3458547782,1,3,3,3.4790286021,5,3.6391609748,3,3,3.7296438761,3.7296438761,4,4,4,2,4,3.2278570969,4,3.5849849523,3.567376552,3.4834103013,3.4972963272,4,3.7150989072,4,3.525530183,3,4,4,107.134204355
