Feature,Weight
Acct_Mgr_Quality,0.0018037428
Acct_Team_Ability,0.0072762804
Acct_Team_Breadth,0.0085412015
Acct_Team_Contribution,0.003938468
Acct_Team_Engagement,0.004035926
Acct_Team_Info,0.0016248449
Acct_Team_Leadership,0.209323737
Acct_Team_Plan,0.0027619297
Acct_Team_Problem_Solver,0.0018749135
Acct_Team_Sales_Support,0.011474164
Acct_Team_Satisfaction,0.0540749918
Communications,0.0024722682
Competitor_Comparison,0.0090412176
Continue,0.0039200856
Credit_Score,0.0006637632
Ease,0.0024178276
Joint_Service_Delivery,0.0014104494
Loyalty,0.0051615338
Mktg_Proj,0.0044240188
Online_Tools/Applications_Satisfaction,0.0025681476
Online_Tools_Colloboration,0.0020451874
Online_Tools_Ease,0.0044984586
Online_Tools_Effectiveness,0.0022196793
Online_Tools_Help,0.4726271424
Online_Tools_Sufficient,0.0065706978
Online_Tools_Timeliness,0.007812352
Operation_Support_Quality,0.0062880416
Partnership_Committed,0.0043223739
Product_Quality,0.0030846582
Profit,0.0036531354
Relationship,0.003554974
Sales_Expectation,0.0035087935
Sales_Training,0.0066057963
Satisfaction,0.0134603111
Service_Account_Team_Satisfaction,0.0035880159
Service_Sales_Support,0.0018891378
Service_Support,0.0015620658
Solutions_Support,0.0013901303
Support_Importance,0.0025239151
Support_Mgr_Quality,0.0044919835
Support_Quality,0.0047155955
Svc_Proj,0.0079876436
Team_Comparison,0.0834395172
Value,0.0027233564
Will_Recommend,0.0038548089
Prediction,0.0027727174
