IDX,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,25.85,26.27,51.29,23.38,11.15,72.39,27.51,37.9,47.48,26.88,33.9,48.18,29.57,37.63,52.8
2,27.19,50.12,41.94,28.73,48.58,45.72,24.3,44.69,37.5,28.77,37.6,50.77,28.19,33.78,51.71
3,25.72,28.3,49.09,26.04,34.39,45.77,29.67,49.29,47.52,28.21,30.38,54.41,26.63,35.32,46.71
4,25.15,38.09,41.76,25.8,41.43,41.87,27.83,28.72,54.81,27.81,43.8,45.46,34,34.1,67.9
5,26.7,30.17,50.33,27.79,34.9,49.91,9.92,15.89,16.11,24.48,33.94,42.13,24.75,44.72,38.44
6,25.39,31.27,46,26.05,31.28,47.75,28.71,16.05,80.07,35.44,46.8,62.27,31.93,24.33,73.83
7,20.69,22.86,39.41,20.45,33.53,32.92,22.81,37.03,36.86,33.8,46.55,58.35,28.09,31.46,53.18
8,25.85,53.71,38.3,30.82,32.03,60.47,31.77,33.71,61.71,32.22,54.39,51.31,26.93,59.91,39.04
9,20.96,35.78,33.24,23.73,28.32,43.62,30.97,40.84,54.45,29.66,46.65,48.53,32.22,33.04,63.65
10,27.63,38.52,47.44,29.14,31.34,56.25,28.89,49.87,45.62,26.85,32.5,49.04,28.86,40.8,49.27
11,25.9,14.15,73.32,24.95,10.95,81.83,26.75,46.34,42.19,30.05,33.38,57.09,23.37,10.62,74.8
12,27.79,36.35,49.03,28.34,36.35,50.44,25.82,44.2,40.9,25.78,31.94,46.59,22.43,49.17,32.67
13,21.73,24.14,41.28,23.45,25.2,45.26,9.78,17.04,15.4,35.07,42.38,64.09,29.24,26.97,60.96
14,23.44,35.59,38.88,25.73,30.08,47.73,25.06,36.83,42.11,26.61,35.63,46.47,28.61,33.34,53.16
15,23.19,14.86,59.38,24.72,29.23,45.61,29.78,31.65,57.79,28.34,12.27,93.75,23.08,41.35,35.97
16,31.21,41.68,54.58,28.57,60.08,42.15,32.99,28.64,70.99,28.1,46.13,45.21,26.65,17.91,66.3
17,30.55,44.3,51.63,30.98,49.15,50.5,27.5,32.34,50.87,31.02,19.41,80.59,27.73,47.9,43.79
18,21.97,39.7,34.13,22.69,40.77,35.32,32.56,45.09,56.07,28.24,34.37,51.46,29.45,31.78,56.73
19,27.92,30.79,53.23,28.83,33.65,53.52,21.58,10.91,64.29,30.83,36.64,56.77,21.87,25.6,40.57
20,25.26,25.25,50.52,26.67,30.46,50.03,22.25,27.44,40.28,33.3,42.88,59.15,25.94,15.33,69.84
21,20.72,41.71,31.02,22.02,12.04,62.3,25.86,32.63,46.34,32.77,27.24,72.19,31.1,46.84,51.75
22,27.74,38.7,47.63,28.03,42.49,46.52,29.87,31.93,57.8,31.49,31.65,62.84,28.3,26.13,58.94
23,24.88,34.33,42.9,26.18,37,44.7,32.88,34.04,64.64,9.9,6.57,24.84,30.96,40.16,54.83
24,24.18,37.79,39.65,26.46,27.06,52.35,26.41,58.75,38.29,30.37,32.52,58.74,26.41,16.63,68.38
25,28.06,37.38,49.13,29.44,31,57.39,23.35,49.77,34.31,9.82,12.5,17.52,28.4,31.05,54.38
26,24.84,26.03,48.53,24.84,35.61,42.16,30.11,16.19,86.13,27.61,45.96,44.21,30.26,32.72,58.25
27,22.38,10.72,69.09,22.87,10.49,72.71,31.81,43.22,55.22,27.2,35.39,48.1,30.22,42.44,51.74
28,29.36,37.38,52.42,31.26,34.43,59.64,31.57,38.84,57.23,28.31,41.01,47.84,26.9,41.6,44.3
29,25.6,30.38,47.17,23.13,10.79,72.72,29.96,48,48.67,29,37.23,51.6,24.68,48.46,37.25
30,27.83,39.02,47.68,27.06,15.21,75.17,11.38,7.22,29.3,34.67,51.98,57.79,29.36,38.02,52.03
31,27.96,34.34,50.72,27.32,44.66,44.02,29.25,39.55,50.87,28.39,13.42,88.42,24.61,36.02,41.41
32,23.36,25.61,44.67,24.67,23.62,50.44,24.16,34.83,40.93,31.57,40.45,56.21,21.79,31.34,36.94
33,26.43,45.27,41.87,28.8,34.95,52.54,25.47,33.55,44.82,29.49,38.09,52.31,28.27,37.94,49.33
34,22.32,47.44,32.81,26.32,34.1,46.65,27.9,18.72,69.49,25.69,38.3,42.93,28.77,34.94,52.45
35,23.33,19.55,51.16,24.38,35.66,41.04,27.12,17.06,70.25,30.92,39.34,55.21,32.61,41.03,58.53
36,26.75,32.52,48.76,25.26,12.54,76.16,27.24,34.08,49.01,30.53,41.93,52.77,28.59,38.84,49.63
37,19.47,9.17,60.81,22.65,28.19,40.85,25,34.96,42.88,34.36,50.27,57.85,31.34,38.58,56.81
38,30.58,25.73,66.93,32.26,31.81,64.97,26.14,35.49,45.4,26.84,14.73,75.72,30.6,30.55,61.25
39,31.09,38.92,55.91,32.22,28.82,68.24,11.24,18.93,17.91,31.13,18.47,83.6,32.36,25.26,73.81
40,20.37,19.63,41.51,20.34,28.7,34.76,28.68,39.69,49.4,32.76,42.3,58.14,34.24,37.79,65.26
41,26.92,33.97,48.24,27.55,37.44,47.83,26.44,17.01,67.56,29.3,46.33,47.82,28.98,45.8,47.33
42,29.09,34.33,53.73,31.12,27,66.99,26.5,36.23,45.87,26.22,44.39,41.7,16.33,19.99,29.68
43,25.33,32.23,45.25,24.3,45.21,37.37,29.29,44.13,48.74,28.96,40.13,49.86,30.45,33.49,58.14
44,25.3,33.58,44.37,25.92,35.1,45.05,25.61,36.08,43.78,27.77,34.82,49.92,27.33,25.52,56.6
45,25.84,21.62,56.73,25.06,38.1,41.54,30.36,35.87,56.05,27.03,48.25,42.17,31.92,32.06,63.71
46,24.15,33.81,41.39,23.7,40.59,37.54,25.23,46.41,38.95,33.35,44.14,58.55,30.78,23.36,71.34
47,24.08,40.44,38.43,26.99,24.97,56.17,31.29,54.08,49.4,28.68,16.36,78.96,26.76,35.36,47.01
48,29.22,43.51,48.85,31.29,40.84,55.27,26.67,23.64,56.77,27.62,48.88,43.23,23.82,11.19,74.52
49,20.21,9.02,65.54,24.52,29.65,44.8,27.98,29.02,54.96,28.15,18.52,70.94,23.57,10.21,77.99
50,20.2,11.82,54.71,22.99,25.5,43.72,33.65,35,65.99,27.73,31.49,52.16,28.03,39.4,47.97
51,20.39,9.44,64.44,24.49,27.95,45.94,29.2,38.55,51.32,33.42,57.82,52.73,32.05,40.93,57.16
52,24.49,12.89,71,26.25,16.59,67.81,31.54,44.95,53.67,30.99,60.58,46.84,28.79,50.42,45.24
53,28.82,42.59,48.32,28.57,50.54,44.72,26.78,11.7,88.08,33.82,34.9,66.59,32.33,48.84,53.72
54,25.36,32.25,45.31,25.51,38.14,42.58,22.84,17.27,53.04,29.13,32.15,55.52,24.25,49.56,36.11
55,25.73,46.08,40.09,28.98,31.75,55.44,27.98,37.35,48.95,30.96,47.35,51.2,27.53,33.89,49.9
56,25.42,42.32,40.69,28.01,39.17,48.04,27.88,31.36,52.68,35.51,34.59,71.96,8.94,12.69,15.24
57,20.54,26.44,36.5,21.08,26.78,37.66,33.8,37.27,64.44,26.56,38.46,44.9,27.27,38.73,46.46
58,24.9,43.89,39.03,27.53,19.63,66.15,32.52,46.31,55.37,27.71,48.56,43.51,33.21,36.06,63.78
59,29.39,43.95,49.05,31.22,39.01,56.2,30.83,20.49,77.21,33.63,48.84,56.78,30.88,17.86,84.26
60,26.02,35.12,45.29,27.54,18.59,68.33,29.23,60.87,43.27,32.61,38.81,60.01,30.91,38.6,55.67
61,23.36,34.55,39.15,24.28,35.18,41.04,24.06,34.13,41.03,30.43,41.51,52.74,26.98,38.76,45.76
62,28,15.66,78.04,26.75,62.32,38.24,32.63,45.39,56.08,32.12,37.69,59.5,29.39,38.84,51.62
63,25.07,32.4,44.46,26.51,33.91,47.25,31.16,37.74,56.9,32.46,44.19,56.31,31.02,26.62,67.17
64,30.65,37.98,55.4,32.16,31.18,65.33,27.19,12.56,86.04,24.23,13.32,68.33,20.87,10.5,62.38
65,21.05,30.01,35.82,22.36,24.81,42.5,25.11,46.01,38.82,32.44,42.57,57.15,30.83,39.73,54.77
66,30.09,43.42,50.95,29.5,51.55,46.38,25.28,14.1,70.58,27.95,28.25,55.6,32.58,33.13,64.62
67,24.07,33.89,41.17,23.71,13.14,66.47,31.31,19.09,82.66,25.69,42.1,41.37,26.74,16.86,69.15
68,26.4,37.02,45.22,28.63,28.24,57.65,29.59,18.49,76.92,29.01,14.53,86.89,27.85,31.46,52.5
69,29.68,46.12,48.79,31.48,42.21,54.95,28.37,32.46,53.17,35,49.83,59.57,19.65,29.43,32.78
70,21.58,34.54,35.06,20.6,45.47,29.93,20.18,36.46,31.35,28.98,39.4,50.31,27.49,32.78,50.55
71,30.27,42.59,51.77,32.23,44.34,55.66,29.01,39.1,50.54,30.16,27.55,63.17,33.84,40.77,61.93
72,26.15,33.19,46.77,27.28,30.69,51.54,27.32,32.82,50.06,31.94,34.35,61.65,27.66,40,46.79
73,21.44,39.25,33.15,23.76,35.13,39.82,27.81,23.24,61.11,29.76,35.58,54.66,33.76,46.13,58.46
74,22.73,29.75,40.11,24.18,20.89,52.17,27.53,39.06,46.94,31.29,33.22,60.77,31.56,38.32,57.55
75,25.86,35.55,44.68,26.6,39.9,44.34,11.2,15.41,19.34,24.39,33.64,42.08,24.15,32.03,42.35
76,29.91,46.88,49,31.49,22.68,75.21,28.06,22.9,62.45,34.99,33.15,71.91,31.33,50.26,50.85
77,24.25,28.93,44.57,25.26,20.41,56.51,24.05,41.58,37.95,33.41,37.67,63.03,33.34,39.56,61.45
78,26.24,32.56,47.4,26.27,39.08,43.93,31.97,32.65,63.28,23.56,34.41,39.69,25.48,50.89,38.23
79,24.25,38.33,39.58,26.3,32.08,47.86,22.54,31.11,38.86,31.69,60.28,48.35,28.67,35.68,51.71
80,28.68,35.61,51.78,29.84,35.84,54.69,21.68,49.24,31.23,26.79,14.12,77.63,28.94,51.02,45.35
81,29.31,38.65,51.55,30.84,38.02,55.85,24.1,56.22,34.43,23.88,25.26,46.46,11.15,8.34,26.08
82,26.98,45.22,43.09,28.43,18.22,72.8,24.83,49.96,37.18,26.92,39.95,45.05,29.97,20.48,73.82
83,26.83,32.19,49.2,25.83,45.58,40.46,31.72,48.25,52.58,24.92,48.62,37.69,29.26,39.51,50.93
84,24.54,35.13,41.67,26.29,32.82,47.36,27.26,33.74,49.28,27.68,39.2,47.22,25.86,54.82,38.05
85,27.19,48.77,42.36,29.91,42.99,50.73,31.66,35.23,60.11,34.52,43.91,61.66,30.81,16.55,88.17
86,22.77,29.02,40.63,22.93,33.17,38.78,27.64,32.86,50.89,26.04,35.72,45.02,31.8,37.66,58.66
87,27.37,27.87,54.25,26.7,47.58,41.68,31.18,45.26,52.67,32.87,47.08,55.81,25.78,20.69,57.9
88,28.14,35.68,50.34,28.38,40.38,48.33,25.69,38.32,42.91,31.67,36.6,59.07,27.11,36.9,47.03
89,28.25,38.63,48.9,28.92,20.14,70.45,22.11,48.46,32.2,29.98,37.38,54.03,29.58,23.72,66.46
90,24.69,15.47,64.09,25.15,42.27,40.11,27.95,28.39,55.46,25.95,48,39.99,27.22,29.42,52.4
91,21.9,9.75,71.08,26.55,27.28,52.37,26.84,35.46,47.16,34.41,43.12,61.87,32.81,47.6,55.43
92,30.09,40.82,52.28,27.65,57.58,40.93,27.2,40.45,45.49,25.34,33.49,44.52,24.53,12.25,73.65
