IDX,Revenue
1,91.21
2,111.24
3,92.35
4,88.97
5,102.29
6,88.05
7,54.63
8,112.88
9,62.28
10,98.45
11,103.65
12,101.44
13,60.29
14,87.53
15,88.46
16,113.52
17,115.89
18,88.75
19,101.91
20,93.44
21,87.82
22,102.41
23,91.68
24,93.53
25,103.34
26,95.23
27,98.19
28,110.41
29,95.44
30,101.13
31,103.52
32,85.95
33,103.11
34,92.84
35,85.95
36,96.1
37,60.36
38,114.04
39,116.58
40,52.19
41,97.56
42,106.97
43,93.3
44,91.26
45,93
46,92.38
47,92.34
48,112
49,90.49
50,57.24
51,82.57
52,94.37
53,112.61
54,94.75
55,101.48
56,94.82
57,56.41
58,96.59
59,112.29
60,101.81
61,86.19
62,117.14
63,91.42
64,115.26
65,54.01
66,117.21
67,91.68
68,98.39
69,113.2
70,60.17
71,111.46
72,95.15
73,83.77
74,81.86
75,99.74
76,112.37
77,88.99
78,94.44
79,93.03
80,104.68
81,110.6
82,104.24
83,100.08
84,95.22
85,106.76
86,85.03
87,100.53
88,100.92
89,105.52
90,93.44
91,92.98
92,108.35
93,105.13
94,101.66
95,103.59
96,115.14
97,86.75
98,91.78
99,99.52
100,94.12
101,94.05
102,61.35
103,92.75
104,53.02
105,109.15
106,53.94
107,88.06
108,92.42
109,94.86
110,108.33
111,111.69
112,109.51
113,86.74
114,103.33
115,90.78
116,82.38
117,104.75
118,99.05
119,112.72
120,101.25
121,93.72
122,97.91
123,90.72
124,93.3
125,82.72
126,84.12
127,113.51
128,97.9
129,93.26
130,85.4
131,112.38
132,113.03
133,86.53
134,91.34
135,83.09
136,105.07
137,88.72
138,99.49
139,64.07
140,50.68
141,98.4
142,92.35
143,99.87
144,53.52
145,54.65
146,104.91
147,92.3
148,53.04
149,54.96
150,83.87
151,63.83
152,95.76
153,87.43
154,94.4
155,93.19
156,86.95
157,95.35
158,60.28
159,59.92
160,87.51
161,89.43
162,113.74
163,107.24
164,100.43
165,101.08
166,106.01
167,53
168,90.51
169,48.72
170,58.99
171,55.07
172,113.19
173,109.3
174,83.65
175,93.97
176,57.78
177,86.79
178,99.47
179,96.2
