IDX,Qtr,Credit_Score,Satisfaction,Value,Ease,Relationship,Profit,Communications,Product_Quality,Support_Quality,Partnership_Committed,Support_Importance,Will_Recommend,Continue,Sales_Expectation,Competitor_Comparison,Acct_Mgr_Quality,Support_Mgr_Quality,Team_Comparison,Acct_Team_Ability,Acct_Team_Problem_Solver,Acct_Team_Info,Acct_Team_Plan,Acct_Team_Contribution,Acct_Team_Sales_Support,Operation_Support_Quality,Acct_Team_Satisfaction,Acct_Team_Engagement,Sales_Training,Service_Account_Team_Satisfaction,Service_Support,Service_Sales_Support,Solutions_Support,Joint_Service_Delivery,Online_Tools/Applications_Satisfaction,Online_Tools_Ease,Online_Tools_Effectiveness,Online_Tools_Colloboration,Online_Tools_Timeliness,Online_Tools_Sufficient,Online_Tools_Help,Acct_Team_Leadership,Acct_Team_Breadth,Mean_Sat,Mktg_Proj,Svc_Proj
1,1.0,3.0,4.0,3.79636645599,3.62994231017,3.85816456017,3.98870157944,3.85942364301,4.32103019726,4.06567526786,4.05969926753,4.08559945982,4.2479468176,4.31300711799,3.57016775766,3.60318196524,4.09304345487,3.93117217842,3.80647951346,3.76204977519,3.84230400889,3.78225171578,3.52055138355,3.76903043131,3.78313537046,3.68428971456,3.82842624735,3.48543921267,3.6123145246,3.70817187555,3.61838384487,3.74158738881,3.66281142807,3.51062463975,3.89041927543,4.26982782232,3.86120073089,3.75012703122,3.68428971456,3.80778376814,3.9839717266,3.91433257253,3.68428971456,4.0,3.79523301624,3.73772475472
2,1.0,1.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,3.91485011335,5.0,4.74175469965,4.20205005107,4.95027971896,4.94711645673,4.94465384591,4.77306744028,4.84558318866,4.8952711305,4.33293652816,4.76006922378,4.39477907276,4.57821235419,4.7899688973,4.84146155125,4.96383616577,4.99104447007,4.85562729635,5.0,5.0,5.0,5.0,4.33293652816,5.0,5.0,5.0,4.33293652816,4.7058823529,4.82168100278,5.0
10,1.0,2.0,4.0,3.74601253268,3.56457047138,3.86146625364,4.02388616431,4.02504464019,4.31172769213,4.08885844486,4.04431813822,4.0415294731,4.27269669638,4.33322028205,3.56996290859,3.68050106218,4.24186227818,4.31474955186,4.04354426159,3.96316299131,4.01291194339,4.02393615866,3.71900734512,3.83953649264,3.92846868417,3.68040040665,3.83128341726,3.54675520056,3.74668671943,3.96205262237,3.77010092818,3.91061113948,3.82240608743,3.68453282959,3.56378207904,4.13268276369,3.63315216478,3.63518734251,3.68040040665,3.63106769541,3.82864344635,3.80950231624,3.68040040665,4.0,3.92033735717,3.8847497424
11,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,3.82210360959,4.0,4.0,4.15881467514,4.0,4.0,4.0,3.0,3.67210857542,4.0,3.77691432228,4.0,3.79237666821,4.07034754496,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.77691432228,3.76070960635,3.96308861937,3.92135319343,3.77691432228,4.0666666667,4.16117214857,4.0
12,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,5.0,3.93933649054,5.0,5.0,5.0,5.0,4.16325351854,5.0,3.72439216856,4.13839911856,3.92111325264,4.06792395048,4.45036506738,4.37855028662,4.45987365368,4.42986584774,4.36861206063,3.86551418412,4.26572196744,3.91763181699,3.9392821443,3.72439216856,3.9927822981,4.10096940083,4.07051394533,3.72439216856,4.2380952381,4.2380952381,4.11012801494
14,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.17863872553,4.09275554369,3.49480011668,4.01789221903,4.07571167951,4.0997019902,3.84417830912,3.86857159958,4.00675301871,3.6812049418,4.03543948119,3.82471626659,3.98690683193,3.95498939033,3.87102177096,3.99649863513,3.94354488663,3.86040193105,4.0,4.0,4.0,4.0,3.6812049418,4.00550724458,4.10354632621,4.02396459819,3.6812049418,3.9444444444,4.0,4.0
23,1.0,3.0,4.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,1.84400652506,3.47582635842,3.58220224253,3.519424467,3.27031846913,3.0,3.57486039724,2.88856984139,2.0,2.63545280219,2.69887974368,2.0,2.91541897349,3.09653969197,2.98942943401,2.88038130402,4.0,5.0,3.0,3.0,2.88856984139,3.13796939655,3.13816968585,3.22153946364,2.88856984139,3.1304347826,3.21020643077,3.0
29,1.0,1.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,3.0,4.45105973975,5.0,5.0,4.75474132778,5.0,5.0,5.0,5.0,5.0,5.0,4.15457069721,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,4.15457069721,4.44419286878,4.54661857541,4.51806512353,4.15457069721,4.696969697,4.67296347078,5.0
30,1.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.99645905544,3.69671799214,4.22109139867,2.9769254646,2.95162785772,3.17671941366,2.83486178707,2.72458915515,2.90199523266,3.28346846136,4.0,4.0,4.0,3.16014490712,3.01041892781,3.00145874162,2.9169739541,2.96133217128,2.7012227923,3.64326741051,2.85274806027,2.87673909245,3.28346846136,2.53461185647,2.70052100631,2.61426178618,3.28346846136,3.4705882353,3.0,3.48129868932
41,1.0,1.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.39787506881,4.0,4.0,4.7851174575,4.0,4.0,5.0,4.0,4.0098695465,4.14325262748,4.10902407024,4.40047969951,3.96889994896,4.38057744573,4.46100221731,4.24937693766,4.38765134116,4.37681954788,4.20493530495,4.47907267125,4.7869003717,4.64711102196,4.67445628304,4.10902407024,4.56257947761,4.84835364288,4.64893484615,4.10902407024,4.4210526316,4.54733233941,5.0
43,1.0,1.0,4.0,3.0,4.0,5.0,3.0,4.0,5.0,4.0,4.38336365135,5.0,5.0,4.0,4.0,3.44654341229,5.0,5.0,3.95857791963,5.0,5.0,4.0,5.0,4.0,5.0,4.03015883158,4.47358765095,4.25928397391,4.41295878718,5.0,5.0,5.0,5.0,5.0,4.05251331159,4.67364012168,4.09879935965,4.12383891128,4.03015883158,4.09792811659,4.19428742542,4.30683959074,4.03015883158,4.52,4.52948817912,4.33539676908
44,1.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,5.0,4.0,4.68825686231,5.0,5.0,5.0,4.0,4.40962770182,5.0,5.0,4.75130329521,4.54317031898,4.66500926628,4.55543299877,4.32922953466,5.0,4.58946250991,4.14793884535,4.0,4.32024190611,4.41551251687,4.48394127981,4.29881416903,4.36657464528,4.30406690602,4.24368838839,4.0,4.0,4.0,4.0,4.14793884535,3.79239817896,3.96267286954,4.05381284308,4.14793884535,4.4,4.4,5.0
45,1.0,3.0,4.0,3.0,1.0,3.0,2.0,3.0,4.0,2.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.25673706002,3.34083568842,3.65915730672,3.31249069283,3.15006232443,3.0,3.54123022924,3.22608496562,4.0,3.06919263715,3.08941200511,5.0,3.13726692904,3.01409082065,2.88128704496,3.07006813641,3.0,5.0,1.0,1.0,3.22608496562,1.35012581294,1.61306632243,2.11086827762,3.22608496562,3.3913043478,4.0,2.95644091586
50,1.0,1.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,3.49508574573,4.0,4.0,4.0,4.0,4.22249407771,4.0,3.56639093185,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.56639093185,4.04039407289,4.11572513189,4.0552989916,3.56639093185,3.7878787879,4.0,5.0
51,1.0,3.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,3.29026803101,3.8786352082,3.92706755684,3.97382144568,3.70142058334,3.0,3.92804181725,3.58227450048,3.74096775376,3.55201694052,3.57825134843,3.0,3.45361605244,3.55530126663,3.46651261422,3.41637558888,4.0,5.0,4.0,3.0,3.58227450048,3.45851963972,3.49184470162,3.50595190377,3.58227450048,3.7272727273,3.79280090981,3.5239957686
52,1.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.61020322154,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.9990801314,5.0,5.0,5.0,4.61020322154,4.94393091014,5.0,5.0,4.61020322154,5.0,5.0,5.0
53,1.0,1.0,5.0,4.29133827684,4.57770635331,4.7237399801,4.43028378759,4.35708470376,4.59150391721,4.74372287259,4.73218626012,4.69278946394,4.76642576769,4.73986601792,3.6480130427,4.41746860406,4.59263299431,4.32920181271,4.64378975395,4.32733607406,4.35875603288,4.2281235659,4.04899347331,4.28215388517,4.30040680184,3.95026456019,4.41101408559,4.05405873288,4.19749820654,4.18161995583,4.04857734441,4.14293550449,4.15780547857,3.98765587116,4.32186821275,4.38773946918,4.30152649057,4.23996529023,3.95026456019,4.24272431558,4.40569987584,4.32848512751,3.95026456019,5.0,4.30344951438,4.33438837723
57,1.0,2.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.4419573526,3.51160532382,3.72231040715,3.53978609795,3.48975849648,3.47233931954,3.56667572867,3.3018563137,3.27583760992,3.42205447216,3.45423495743,4.0,4.0,4.0,3.68150217124,3.51681902727,3.59114965836,3.51965661464,3.52474872059,3.43071461899,3.60060119161,3.5421274949,3.49048508396,3.45423495743,3.33168814285,3.34055749812,3.29076834312,3.45423495743,3.6875,3.74795984148,3.73516079376
58,1.0,1.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.81855905147,4.1473626154,4.09265046356,4.08866032807,3.72231897037,5.0,4.01302180242,4.08157697775,3.0,3.49810551229,3.84694348453,4.0,3.40614808287,3.59471208023,3.53390172528,3.25843277892,4.30426128603,4.68214433161,4.32640153435,4.21841651931,4.08157697775,4.06797834247,4.40795148045,4.3315058479,4.08157697775,4.4210526316,4.26884393736,4.22046647119
